transition,metric,population_count,mean,median,std,minimum,maximum,range,coefficient_of_variation
0.30->0.35,analytic_transition_weight,4,0.6969083373514537,0.709735625669212,0.11874187045815855,0.5455741553557341,0.8225879427116568,0.27701378735592275,0.17038377085489873
0.30->0.35,performance_term,4,0.4467533637859313,0.46637901323984565,0.054776967433010935,0.35842864579644274,0.4958267828675911,0.13739813707114834,0.12261120312293419
0.30->0.35,responsiveness_term,4,-0.3062060204446804,-0.29463670859491364,0.035696611501142804,-0.36504038632315755,-0.2705102782657369,0.09453010805742063,0.1165771053400689
0.30->0.35,regret_term,4,0.21659410959194897,0.226730082788977,0.025787721410142857,0.17297226402646404,0.2399440087633779,0.06697174473691386,0.11906012337420192
0.30->0.35,under_term,4,0.23015925419398228,0.23214285714285757,0.03254560332029861,0.1854563817699787,0.2708949207202353,0.0854385389502566,0.14140471315947437
0.30->0.35,over_term,4,-0.1642704541029724,-0.16275192493185245,0.02366522454695758,-0.19312065450032212,-0.13845731204786255,0.05466334245245957,0.14406257458887348
0.30->0.35,entropy_term,4,-0.14193556634170804,-0.13814545125955272,0.020495341312237878,-0.17191973182283543,-0.11953163102489132,0.05238810079794411,0.1443989117068488
0.35->0.40,analytic_transition_weight,4,1.0116966260524942,0.9761336290252538,0.2606204635028035,0.6821497629782938,1.4123694831811755,0.7302197202028817,0.2576073269313054
0.35->0.40,performance_term,4,0.44671237881308734,0.4159035291960804,0.072992182083461,0.38639298555511764,0.5686494713050707,0.18225648574995307,0.1633986107065152
0.35->0.40,responsiveness_term,4,-0.4372515234649524,-0.4065908787572839,0.07151338059115088,-0.5573491924766127,-0.378475143868629,0.17887404860798373,0.16355204442617108
0.35->0.40,regret_term,4,0.22373816222128143,0.20268527572880568,0.04316065840958903,0.19155880188164864,0.2980232955458657,0.10646449366421706,0.19290700335199093
0.35->0.40,under_term,4,0.2229742165918059,0.2134885204081629,0.03150083152341653,0.19429364979169272,0.27062617575920506,0.07633252596751233,0.14127566857240909
0.35->0.40,over_term,4,-0.23597262662626428,-0.22359454948668553,0.03852659951598559,-0.29983822227648627,-0.1968631852551998,0.10297503702128646,0.16326724021682562
0.35->0.40,entropy_term,4,-0.2012788968386881,-0.1933208217712097,0.03601484628102778,-0.2575109702001265,-0.16096297361220654,0.09654799658791993,0.17893006592683847
