step,true_state,observation,predicted_state,prediction_error,parameter_update,estimated_a,true_a
0,1.0,0.9783864505633108,1.0,-0.02161354943668925,0.0,0.5,0.92
1,1.92,1.894064459950272,1.4891932252816553,0.40487123466861674,0.016190984070715064,0.5161909840707151,0.92
2,2.7664,2.7497026207648507,1.9776989974750983,0.7720036232897525,0.025499395205165643,0.5416903792758807,0.92
3,3.5450880000000002,3.6503855587648295,2.4894874555379953,1.1608981032268342,0.029829927161201808,0.5715203064370825,0.92
4,4.26148096,4.242342717432567,3.086269473158776,1.1560732442737915,0.023567303928781702,0.5950876103658642,0.92
5,4.9205624832,4.695959471048857,3.5245655900699733,1.1713938809788838,0.02092680276736003,0.6160144131332242,0.92
6,5.526917484544001,5.5767652361541575,3.8927787176555677,1.6839865184985898,0.02744376301464002,0.6434581761478643,0.92
7,6.08476408578048,6.044663464005905,4.588415187660567,1.4562482763453373,0.02023944226443586,0.6636976184123001,0.92
8,6.597982958918042,6.565439156296263,5.011828745164563,1.5536104111316993,0.020013986890764723,0.6837116053030649,0.92
9,7.070144322204599,7.087527040209728,5.488866945070917,1.5986600951388104,0.01903803678139493,0.7027496420844598,0.92
10,7.504532776428231,7.539377436964239,5.980757090771316,1.5586203461929227,0.01724943738964968,0.7199990794741095,0.92
11,7.904170154313973,8.078703957303844,6.428344814422123,1.6503591428817215,0.017209135024446542,0.737208214498556,0.92
12,8.271836541968856,8.370332017988657,6.955686919826386,1.4146450981622714,0.013797232357839473,0.7510054468563955,0.92
13,8.610089618611347,8.626665695227922,7.286164937505966,1.3405007577219568,0.012631633313974988,0.7636370801703705,0.92
14,8.92128244912244,8.810534208770717,7.58764180310975,1.222892405660967,0.011190213040878194,0.7748272932112487,0.92
15,9.207579853192646,9.05538049806949,7.8266423727269245,1.2287381253425647,0.011015090514860604,0.7858423837261093,0.92
16,9.470973464937234,9.507924794218914,8.116101796149849,1.391822998069065,0.01214795141606817,0.7979903351421774,0.92
17,9.713295587742255,9.909957711822862,8.587232093045369,1.3227256187774934,0.011007692328708796,0.8089980274708862,0.92
18,9.936231940722875,9.942480470308382,9.017136241184593,0.9253442291237892,0.007394718498208608,0.8163927459690948,0.92
19,10.141333385465046,10.125384891399428,9.116968932899157,1.0084159585002705,0.00803273950041583,0.8244254854695107,0.92
20,10.330026714627843,10.409793147687974,9.347625354657621,1.062167793030353,0.008311052943882347,0.832736538413393,0.92
21,10.503624577457616,10.285592782756314,9.668615111405142,0.6169776713511723,0.004698161786198862,0.8374347001995919,0.92
22,10.663334611261007,10.616493013689324,9.61351230840262,1.0029807052867028,0.007728005122792814,0.8451627053223847,0.92
23,10.810267842360126,10.883822222249155,9.972663956485865,0.9111582657632891,0.006805601502659964,0.8519683068250447,0.92
24,10.945446414971316,11.076457072778233,10.272671590474406,0.8037854823038266,0.005858653987598772,0.8578269608126434,0.92
25,11.069810701773612,11.033716250875342,10.50168350731306,0.5320327435622811,0.0038115532944789088,0.8616385141071223,0.92
26,11.184225845631724,11.240715824434911,10.507074875483838,0.7336409489510736,0.005275929727155182,0.8669144438342775,0.92
27,11.289487777981186,11.326719795380448,10.744738907239153,0.5819808881412953,0.004109425750281281,0.8710238695845588,0.92
28,11.386328755742692,11.503677777048239,10.8658433058723,0.6378344711759389,0.004470147012761716,0.8754940165973205,0.92
29,11.475422455283278,11.308439123146051,11.071401062669297,0.23703806047675435,0.0016360701090799568,0.8771300867064005,0.92
30,11.557388658860615,11.642626261998423,10.918972188599147,0.7236540733992758,0.005079669478906257,0.8822097561853067,0.92
31,11.632797566151767,11.405619507392997,11.271238475954277,0.1343810314387195,0.0009166105164003513,0.8831263667017071,0.92
32,11.702173760859626,11.309181947526799,11.072603315546091,0.2365786319807075,0.0016467244243180135,0.8847730911260251,0.92
33,11.765999859990856,11.674966250760932,11.006059869819927,0.6689063809410047,0.004695065964774203,0.8894681570907993,0.92
34,11.824719871191588,11.68734836423969,11.384510715161605,0.30283764907808397,0.002060011525198635,0.8915281686159979,0.92
35,11.878742281496262,12.010144117954722,11.419600283147789,0.5905438348069332,0.0040128993498920185,0.89554106796589,0.92
36,11.928442898976561,12.028082783918496,11.755577289817422,0.2725054941010736,0.001802671439898318,0.8973437394057883,0.92
37,11.974167467058436,11.791306255864082,11.793324783203808,-0.0020185273397252956,-1.3333270014737053e-05,0.8973304061357735,0.92
38,12.01623406969376,12.14333828319596,11.580697631445805,0.5626406517501561,0.003790065524668429,0.901120471660442,0.92
39,12.05493534411826,11.904604920481907,11.942610721285845,-0.03800580080393878,-0.00024869472163147055,0.9008717769388105,0.92
40,12.0905405165888,12.077603939638356,11.724522588469043,0.3530813511693136,0.0023561127980313845,0.9032278897368419,0.92
41,12.123297275261695,12.079212308568215,11.90882871947692,0.17038358909129414,0.0011209076253917427,0.9043487973622336,0.92
42,12.15343349324076,12.170596471859898,11.923821124336754,0.246775347523144,0.0016232551520565242,0.9059720525142901,0.92
43,12.181158813781499,12.303954260513065,12.02622026593409,0.2777339945789752,0.0018133642101143543,0.9077854167244045,0.92
44,12.206666108678979,12.302428177297845,12.169350245737864,0.13307793155998127,0.0008595912576270237,0.9086450079820315,0.92
45,12.23013281998466,12.282615585265042,12.17853994935917,0.10407563590587188,0.0006723388139205921,0.9093173467959521,0.92
46,12.251722194385888,12.349214409056833,12.168795415707818,0.180418993349015,0.0011673797097930816,0.9104847265057452,0.92
47,12.271584418835017,12.343358224482534,12.243771103790918,0.09958712069161635,0.000640937014913856,0.911125663520659,0.92
48,12.289857665328217,12.195809845545277,12.246350452354832,-0.0505406068095553,-0.0003254287678748913,0.9108002347527842,0.92
49,12.30666905210196,12.199063388029472,12.107946470322954,0.09111691770651831,0.0005937016661908823,0.911393936418975,0.92
50,12.322135527933803,12.251640286813402,12.11815240184078,0.13348788497262198,0.0008695544919912201,0.9122634909109663,0.92
51,12.336364685699099,12.411263645770616,12.176724137433826,0.23453950833678938,0.0015213461491976332,0.9137848370601639,0.92
52,12.349455510843171,12.311938175193564,12.341224528261238,-0.029286353067673687,-0.00018755516137947126,0.9135972818987844,0.92
53,12.361499069975718,12.7118622033478,12.24815325176272,0.4637089515850814,0.0029933217727637906,0.9165906036715482,0.92
54,12.372579144377662,12.249685263049688,12.651573450756098,-0.40188818770641,-0.002513661108854537,0.9140769425626937,0.92
