step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,parameter_update,mismatch_indicator,effective_process_noise_variance
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,-0.0,0.0008771505647444069,0.002543857528237221
1,1.9078060517610322,2.2587979143104637,1.5700055856114454,0.029890306613260174,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.03125681686081246,0.061993220793559775,0.005599661039677989
2,2.748802153431005,2.0001254462605265,1.842903083603584,0.013289599824813196,0.5372759682779203,0.3827240317220797,0.1660492763948942,0.006019151417107891,0.0585511349333306,0.005427556746666531
3,3.545513898359911,3.411845159111327,2.0409464919004643,0.008932798452558363,0.5849534394267237,0.3350465605732763,1.421697620425846,0.047677471148803365,0.2548184338324488,0.015240921691622441
4,4.251024852283858,4.308967245634285,2.3381057255202093,0.017049604103924528,0.6518101572208155,0.26818984277918456,2.115108575511203,0.06685671779409176,0.6767050190693067,0.03633525095346534
5,4.922557750946485,5.504337094246056,2.9664025063954593,0.0371100306176408,0.7380154784307976,0.18198452156920242,2.9803360336958393,0.08620532120998219,1.4972748045369604,0.07736374022684803
6,5.5615849562107,5.616838544932616,3.870756263411529,0.07018338947506475,0.7968035363783136,0.12319646362168646,2.4275875799568536,0.05878805794751597,1.9368654699193413,0.09934327349596707
7,6.079742079596603,5.5724108958527445,4.62790119708471,0.09133126088429006,0.8256364981240061,0.09436350187599396,1.4881786167079305,0.028832961745692495,1.9646464824500802,0.10073232412250402
8,6.605679822989435,7.261220236591459,5.784034080086395,0.09866484327477007,0.8659381534907659,0.05406184650923418,2.440256098566543,0.040301655366759795,2.3636668168641926,0.12068334084320964
9,7.07930828034545,7.026146633460058,6.454072082828218,0.10944540283665233,0.8796033387781074,0.04039666122189267,1.017530842422385,0.013665185287341543,2.230837036705854,0.11404185183529271
10,7.539552428937858,6.8127797799335195,6.73714439905323,0.11071491703788996,0.8812466271381636,0.038753372861836444,0.13575642716324499,0.0016432883600561922,2.009596313786882,0.10297981568934411
11,7.920774368765602,8.165955635062364,7.466080726831792,0.10761817975942096,0.8955242415915957,0.024475758408404324,1.228869856853935,0.01427761445343214,1.9596487949166148,0.10048243974583075
12,8.330782638533325,8.210467802205757,7.91031581220265,0.10691008987569121,0.9010443484842285,0.0189556515157715,0.5244115216480871,0.005520106892632804,1.7911846598286796,0.09205923299143398
13,8.683150020385057,8.807256745049264,8.411022916896712,0.10426394374868453,0.9078103951994896,0.012189604800510456,0.6797113877386369,0.0067660467152610045,1.65826695090797,0.0854133475453985
14,9.027614359189435,8.47100325206535,8.568674403752249,0.10166349974910334,0.9062665505500285,0.013733449449971569,-0.16461078615461844,-0.0015438446494611111,1.4951499269090172,0.07725749634545086
15,9.33381774483355,8.57655754897098,8.69155623379233,0.0978414174089541,0.9045261962828056,0.015473803717194423,-0.18894544570389193,-0.0017403542672228814,1.3492049723633397,0.06996024861816699
16,9.456115054135923,9.152669690036172,8.970843789690269,0.09375426948122681,0.9071690236678043,0.012830976332195765,0.29092939010588914,0.002642827384998698,1.222748466129744,0.06363742330648721
17,9.65383534748775,10.091841469015954,9.481691211261545,0.09006879464226998,0.9155701395447345,0.0044298604552655,0.9537698668462475,0.00840111587693023,1.1914413154071606,0.06207206577035804
18,9.914741814669375,9.305204444021527,9.547705865332786,0.08874043758837011,0.9124330353812937,0.007566964618706318,-0.3759489013932882,-0.0031371041634408016,1.0864309415123266,0.05682154707561633
19,10.163930540663227,9.662829128542052,9.694883888932276,0.08582916020492878,0.91202846949264,0.007971530507359992,-0.048813115091322246,-0.00040456588865371145,0.9780261193815858,0.0514013059690793
20,10.346503905093355,10.199554016115089,9.959780686395536,0.08234693064255907,0.9149477817358274,0.005052218264172681,0.35754390098333033,0.00291931224318728,0.893007271556465,0.047150363577823255
21,10.524504585558933,10.933822741330816,10.373063225074905,0.07927481032045106,0.921477630133255,-0.0014776301332549702,0.8211434957378838,0.00652984839742768,0.8711342084600816,0.046056710423004084
22,10.71446490825384,10.889407459188444,10.661773657412128,0.0779993020155504,0.9240058333267553,-0.004005833326755304,0.3308617413240018,0.0025282031935003283,0.7949677368012685,0.042248386840063434
23,10.889805120483848,11.129051139308906,10.935714525032594,0.07582920058106622,0.9260699557999085,-0.006069955799908433,0.2775100862505635,0.0020641224731530847,0.7231721479182212,0.03865860739591106
24,10.987271437584159,10.62858589067587,10.981048896663266,0.07329165879346067,0.9224523362821637,-0.0024523362821636807,-0.49865077616148135,-0.00361761951774475,0.6757201927830438,0.0362860096391522
25,11.084791308870626,11.334454509109017,11.187487938161809,0.0707377584006439,0.9239332479367222,-0.003933247936722117,0.20496029955331174,0.00148091165455841,0.6123490459440378,0.033117452297201894
26,11.185502225611108,12.353379336851383,11.613293015861244,0.0680510409309494,0.9311472138931237,-0.011147213893123675,1.0168872698926403,0.0072139659564015675,0.6545201133166049,0.03522600566583025
27,11.249697420452895,10.700260120501817,11.50889801162523,0.06843463589761713,0.9235336597098791,-0.0035336597098790667,-1.1134253153418516,-0.0076135541832446614,0.7130396952693545,0.038151984763467726
28,11.388145302590148,12.099070293261882,11.75982983868043,0.06963568447460214,0.926777703989378,-0.006777703989377937,0.47021559335788154,0.0032440442794988552,0.6638459961661095,0.03569229980830548
29,11.5023783129249,11.920286985908737,11.904701843834506,0.069104617193154,0.9269231772459179,-0.006923177245917844,0.02153888871070997,0.0001454732565399162,0.5975077889221878,0.03237538944610939
30,11.653505296763017,11.606491558754865,11.919771416114267,0.06711732070537237,0.9240654701217433,-0.004065470121743298,-0.4282524984975513,-0.0028577071241745614,0.5560970302769085,0.030304851513845425
31,11.650076926365028,11.384038652205671,11.850996884810808,0.0648785129777632,0.9198626837799164,0.00013731622008361644,-0.6306105251696774,-0.004202786341826902,0.5402542906946952,0.029512714534734766
32,11.765715560121656,11.043876357082512,11.684867007023968,0.06310339390846055,0.9141156453878887,0.005884354612111342,-0.8574134428469868,-0.005747038392027695,0.559744642822698,0.0304872321411349
33,11.826134881351287,11.952753561022318,11.749107063068168,0.062434481049027865,0.9159604949338075,0.00403950506619255,0.27143381562495605,0.0018448495459188377,0.5111378101669004,0.02805689050834502
34,11.8642644826025,12.22608047578655,11.874757386406536,0.060857332598125806,0.9190996122301657,0.0009003877698343654,0.4643625552683375,0.0031391172963581627,0.48158728742374435,0.02657936437118722
35,11.94416231107063,13.104866569520995,12.197226045758645,0.05944438556907351,0.927065393208745,-0.007065393208744997,1.1907816603474526,0.007965780978579333,0.5752246549433535,0.031261232747167675
36,12.019627714573636,11.714925985252105,12.160765373754458,0.06194564833466111,0.923203906463641,-0.003203906463640993,-0.5927001749150804,-0.0038614867451039936,0.5528315391834548,0.030141576959172744
