step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,parameter_update
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,-0.0
1,1.9078060517610322,2.2587979143104637,1.5698991814314733,0.029856304214492244,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.03125681686081246
2,2.748802153431005,2.0001254462605265,1.8409754261861335,0.010468906089790639,0.5372781898955185,0.3827218101044816,0.16610580434084676,0.006021373034705926
3,3.545513898359911,3.411845159111327,2.0198622668008275,0.005402700996141059,0.5850174622768145,0.33498253772318554,1.4227292144879105,0.04773927238129606
4,4.251024852283858,4.308967245634285,2.218029073854118,0.0042746864363014045,0.6526869214752717,0.2673130785247283,2.127312548161771,0.06766945919845724
5,4.922557750946485,5.504337094246056,2.499612437469637,0.0042476015121148,0.7443106367395729,0.17568936326042717,3.0566585262895636,0.09162371526430119
6,5.5615849562107,5.616838544932616,2.9129772553049054,0.004760745403497404,0.8203564263145714,0.09964357368542864,2.7563504199974345,0.0760457895749985
7,6.079742079596603,5.5724108958527445,3.4383691283393376,0.005576673315427996,0.873981763165974,0.04601823683402606,2.1827312847551834,0.053625336851402604
8,6.605679822989435,7.261220236591459,4.090796482832225,0.006581746370010998,0.9438336184174999,-0.02383361841749987,3.2561483233899917,0.06985185525152597
9,7.07930828034545,7.026146633460058,4.931115597495203,0.008092449866581726,0.9837873291826318,-0.06378732918263175,2.165115386858938,0.0399537107651319
10,7.539552428937858,6.8127797799335195,5.889333868220531,0.009922108610565505,0.9987717887732415,-0.07877178877324142,0.9616107363828963,0.014984459590609636
11,7.920774368765602,8.165955635062364,6.942760019387248,0.01181198262487375,1.0157227980840131,-0.09572279808401307,1.2838551128169104,0.01695100931077165
12,8.330782638533325,8.210467802205757,8.060716807867845,0.013871454037777566,1.0175125850878148,-0.0975125850878148,0.15854816888792378,0.0017897870038016694
13,8.683150020385057,8.807256745049264,9.176946608088954,0.015796166397271896,1.0136554328552854,-0.09365543285528533,-0.39462405178514537,-0.003857152232529538
