generation_seed,test_index,support_baseline_action,block,regime_target,regime_probability,harmful_target,severe_underestimation_probability,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
44077,46,1,block_071_090,0,0.7401966607588564,0,0.6876152032015671,1.8018529495693993,2.072993405283598,0.27114045571419876,0.12679361767594768,0.0
44077,57,1,block_071_090,0,0.27197144175135546,0,0.7174834483795925,1.1961520206603793,1.4535097498602823,0.25735772919990296,0.12590240049344367,0.0
44078,0,1,block_071_090,0,0.48397120063776,0,0.31736073856046654,1.4167807937564993,1.6593733614207877,0.24259256766428838,0.20963619543041015,0.0
44078,7,1,block_071_090,0,0.3977121959143994,0,0.604516414318168,1.2738827895260623,1.398607908647565,0.12472511912150264,0.2478217852970652,0.0
44078,11,2,block_071_090,0,0.9037979070150329,0,0.19484614252054253,1.9196114565132731,2.3812967674334593,0.46168531092018616,0.2227725365426295,0.0
44078,20,1,block_071_090,0,0.4932953248553283,0,0.1955304635272953,1.436342893914108,1.605641367304085,0.16929847338997694,0.21603683117694727,0.0
44078,31,1,block_071_090,0,0.2751215512799192,0,0.26489651737271336,1.2090070148998298,1.6851504739082468,0.47614345900841704,0.1630372342495885,0.0
44078,32,2,block_071_090,0,0.7837755412508018,0,0.5024373596212344,1.361950317372911,2.155812912293377,0.7938625949204658,0.30474998436781975,0.0
44078,46,1,block_071_090,0,0.7604801654780661,0,0.3645755569335822,1.6724135315221456,2.0380336850543195,0.3656201535321739,0.2200024156724256,0.0
44078,47,1,block_071_090,0,0.6123349420914594,0,0.26486791193476583,1.3787196806000837,1.6767530887369688,0.29803340813688517,0.2759999542679671,0.0
44078,49,2,block_071_090,0,0.7737703066569429,0,0.20981977603091523,1.6912677525627224,2.187898420488316,0.4966306679255934,0.20154641164606163,0.0
44078,53,1,block_071_090,0,0.5409379931444851,0,0.3151254586389138,1.5891659585337048,1.814547559242174,0.22538160070846924,0.16465285166561336,0.0
44078,61,1,block_071_090,0,0.4997690444110202,0,0.2666367196797023,1.4296606365147502,1.6788593077624543,0.24919867124770412,0.2102979691067517,0.0
44078,62,1,block_071_090,0,0.912183731652559,1,0.6042552063282551,1.934786293991,2.043076590624332,0.10829029663333167,0.2782462562032576,0.0
44080,14,2,block_071_090,0,0.5091448963561365,0,0.2897423462835416,1.4491912922769183,1.9148527164968545,0.46566142421993617,0.1502365221516364,0.0
