record_type,held_out_seed,feature,coefficient,model,held_out_block
regime_coefficient,44077,local_error_std,-0.06180183316044788,,
regime_coefficient,44077,severe_underestimation_probability,0.35387910075505274,,
regime_coefficient,44078,local_error_std,0.20711888347838128,,
regime_coefficient,44078,severe_underestimation_probability,-0.1998412612501989,,
regime_coefficient,44080,local_error_std,-0.09450163045170709,,
regime_coefficient,44080,severe_underestimation_probability,0.19440829135117876,,
regime_coefficient,44081,local_error_std,-0.07329954516806576,,
regime_coefficient,44081,severe_underestimation_probability,0.28913139702951124,,
regime_coefficient,44082,local_error_std,0.005427041985359982,,
regime_coefficient,44082,severe_underestimation_probability,0.26954946777653965,,
regime_coefficient,44084,local_error_std,0.06953212990396833,,
regime_coefficient,44084,severe_underestimation_probability,0.23524619901212038,,
regime_coefficient,44085,local_error_std,0.09956877559380468,,
regime_coefficient,44085,severe_underestimation_probability,0.20186422167116805,,
regime_coefficient,44087,local_error_std,0.16914685572114838,,
regime_coefficient,44087,severe_underestimation_probability,0.2696793413012436,,
regime_coefficient,44094,local_error_std,0.05479507006803949,,
regime_coefficient,44094,severe_underestimation_probability,0.19308197960822943,,
regime_coefficient,44095,local_error_std,0.051890489137637885,,
regime_coefficient,44095,severe_underestimation_probability,0.08852320493612471,,
regime_coefficient,44096,local_error_std,-0.028156460558368308,,
regime_coefficient,44096,severe_underestimation_probability,0.18506680691754449,,
regime_coefficient,44097,local_error_std,-0.0020765662474328574,,
regime_coefficient,44097,severe_underestimation_probability,0.18871986070673766,,
regime_coefficient,44098,local_error_std,0.14327601646484814,,
regime_coefficient,44098,severe_underestimation_probability,0.09023170196515502,,
regime_coefficient,44099,local_error_std,0.013242924732983155,,
regime_coefficient,44099,severe_underestimation_probability,0.17784424235036747,,
regime_coefficient,44100,local_error_std,0.0256572000488475,,
regime_coefficient,44100,severe_underestimation_probability,0.20833172315233173,,
regime_coefficient,44101,local_error_std,0.010997799078801666,,
regime_coefficient,44101,severe_underestimation_probability,0.21266215751618167,,
regime_coefficient,44103,local_error_std,0.009310930223379806,,
regime_coefficient,44103,severe_underestimation_probability,0.21030826273772021,,
regime_coefficient,44104,local_error_std,0.017935785223730877,,
regime_coefficient,44104,severe_underestimation_probability,0.23188523607934103,,
regime_coefficient,44105,local_error_std,0.05544545646348857,,
regime_coefficient,44105,severe_underestimation_probability,0.28998610320364737,,
regime_coefficient,44106,local_error_std,0.03764480207395808,,
regime_coefficient,44106,severe_underestimation_probability,0.22466800477340731,,
regime_coefficient,44107,local_error_std,0.05787606615442097,,
regime_coefficient,44107,severe_underestimation_probability,0.28617802998507413,,
regime_coefficient,44108,local_error_std,0.02598262940570748,,
regime_coefficient,44108,severe_underestimation_probability,0.32805315218930653,,
regime_coefficient,44109,local_error_std,0.0019215015262102953,,
regime_coefficient,44109,severe_underestimation_probability,0.35962649682753184,,
regime_coefficient,44110,local_error_std,0.08683258123776944,,
regime_coefficient,44110,severe_underestimation_probability,0.18915443284908903,,
harm_modulation_coefficient,,severe_underestimation_probability,1.0454643135598827,severe_proxy_only,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,1.58626616856842,severe_proxy_only,block_091_110
harm_modulation_coefficient,,regime_probability,1.5436301801153482,regime_only,block_071_090
harm_modulation_coefficient,,regime_probability,0.5724610445578073,regime_only,block_091_110
harm_modulation_coefficient,,severe_underestimation_probability,-0.2266570753272083,proxy_plus_regime,block_071_090
harm_modulation_coefficient,,regime_probability,1.7200853902928936,proxy_plus_regime,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,1.7203699583348981,proxy_plus_regime,block_091_110
harm_modulation_coefficient,,regime_probability,-0.2461165307693149,proxy_plus_regime,block_091_110
harm_modulation_coefficient,,severe_underestimation_probability,-0.3153845472052333,proxy_regime_interaction,block_071_090
harm_modulation_coefficient,,regime_probability,1.6665663784698646,proxy_regime_interaction,block_071_090
harm_modulation_coefficient,,proxy_x_regime,0.1459701089628504,proxy_regime_interaction,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,1.2474137728594086,proxy_regime_interaction,block_091_110
harm_modulation_coefficient,,regime_probability,-0.512344311203938,proxy_regime_interaction,block_091_110
harm_modulation_coefficient,,proxy_x_regime,0.7727764041022056,proxy_regime_interaction,block_091_110
