step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,parameter_update,mismatch_indicator,dynamic_lambda,effective_q
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,-0.0,0.004385752823722036,0.05258608399352528,0.002730629566363088
1,1.9078060517610322,2.2587979143104637,1.5704583515432613,0.030034991979626266,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.03125681686081246,0.3082118028383101,0.13282119831697267,0.043437060988418874
2,2.748802153431005,2.0001254462605265,1.862827434013545,0.04298737346148022,0.5372665162030699,0.3827334837969302,0.1658087414071745,0.006009699342257411,0.1678521707826707,0.11025534238637678,0.02100659855993995
3,3.545513898359911,3.411845159111327,2.167195356314574,0.02947543052385845,0.584307136841299,0.33569286315870106,1.4110103533513656,0.047040620638229155,1.079401194023708,0.17179181110369063,0.18793228602881898
4,4.251024852283858,4.308967245634285,3.1690791687145983,0.11048971217956419,0.6464738579358973,0.27352614206410275,2.042659532010358,0.06216672109459831,2.6259295788682415,0.18696073774700794,0.49344573133689634
5,4.922557750946485,5.504337094246056,4.726873756061945,0.17084825598144587,0.7028496911384563,0.21715030886154374,2.455610257942843,0.056375833202559004,4.327975658891179,0.1918086065121013,0.8326429801502105
6,5.5615849562107,5.616838544932616,5.339522646513079,0.19644578330981344,0.7238208381051555,0.19617916189484452,1.2945567854340032,0.020971146966699248,3.0019264648021995,0.18846837392976507,0.5682681994779986
7,6.079742079596603,5.5724108958527445,5.380389273308175,0.18215293240102676,0.7340626049072989,0.18593739509270113,0.7075531387721892,0.010241766802143419,1.7512789544942882,0.18126198253582493,0.3199402952649014
8,6.605679822989435,7.261220236591459,6.396191866386247,0.15645015295840936,0.767286810179065,0.15271318982093507,2.311677671211571,0.03322420527176605,3.5475663050362205,0.19012525470581815,0.6769819473307895
9,7.07930828034545,7.026146633460058,6.751775770997487,0.18867069649848286,0.780941775741462,0.1390582242585381,1.1184329790072747,0.01365496556239703,2.3992293167836536,0.18584493997464607,0.4483846283630692
10,7.539552428937858,6.8127797799335195,6.646808753259262,0.17316668678042244,0.7872031673263329,0.13279683267366715,0.5400360199225638,0.006261391584870957,1.3454341097987286,0.1764954254333131,0.23996296560141747
11,7.920774368765602,8.165955635062364,7.356623642682121,0.14535763376633742,0.8099601913769623,0.11003980862303775,1.9335667318842793,0.022757024050629442,2.5420572082241906,0.18656904310930983,0.4767691808675108
12,8.330782638533325,8.210467802205757,7.829780712934268,0.17397786264333573,0.8233270112576604,0.09667298874233965,1.2518955086906614,0.01336681988069807,2.0546497864520203,0.18372854729579946,0.3799978204664543
13,8.683150020385057,8.807256745049264,8.352406814909054,0.1664362240912816,0.8370075601523063,0.08299243984769378,1.3607867918662198,0.013680548894645919,1.9531952396847894,0.18297926605661824,0.3598942314228033
14,9.027614359189435,8.47100325206535,8.305835329490574,0.16397066761935142,0.8415398366381172,0.07846016336188288,0.4799756025188264,0.004532276485810944,1.0917859093490498,0.17205217334694428,0.19034413853307391
15,9.33381774483355,8.57655754897098,8.312900016467706,0.13768414617211058,0.8471116386017588,0.07288836139824129,0.586866242648381,0.005571801963641595,0.7180989480546391,0.16126429010654858,0.11830371708429069
16,9.456115054135923,9.152669690036172,8.55820275942662,0.11619728035148527,0.8576482415215902,0.06235175847840979,1.1107153355536266,0.01053660291983153,0.9758937523443222,0.1694100733213728,0.16782623213852127
17,9.65383534748775,10.091841469015954,9.22162162819644,0.1258186932036606,0.873804127450933,0.046195872549066985,1.751913921808491,0.01615588592934282,2.0225480708853647,0.18349869889203696,0.3736349394540638
18,9.914741814669375,9.305204444021527,9.219296147661963,0.163158471053957,0.8759246997878718,0.04407530021212824,0.24731340351268472,0.0021205723369387736,1.0418559952211963,0.1709719967715294,0.18062819985135695
19,10.163930540663227,9.662829128542052,9.398611448551295,0.13755161689750822,0.8809627337637133,0.03903726623628678,0.5874199181457644,0.005038033975841433,0.6934590777277865,0.16025264806363998,0.11362865352964734
20,10.346503905093355,10.199554016115089,9.710734328865977,0.11712921917183175,0.8887037256562275,0.03129627434377258,0.9197275808164065,0.007740991892514216,0.769678950321093,0.16322371861438212,0.12812986041062308
21,10.524504585558933,10.933822741330816,10.241221752955742,0.1172015015296202,0.8993325830040514,0.02066741699594865,1.303856964409798,0.010628857347823917,1.234860966980513,0.17474511026021733,0.21828591583104834
22,10.71446490825384,10.889407459188444,10.587876151087276,0.13900302026223332,0.9045876508136972,0.015412349186302854,0.6791430469854784,0.0052550678096458525,0.8480481226246164,0.16584849131168736,0.14314750169700147
23,10.889805120483848,11.129051139308906,10.857104399437496,0.12669926387101937,0.9087170079465455,0.01128299205345451,0.5513891246904983,0.0041293571328483,0.5760390447257852,0.15460263017900247,0.09155715140040643
24,10.987271437584159,10.62858589067587,10.761631360287055,0.10992237246256026,0.9069820916602667,0.013017908339733375,-0.23744953414424685,-0.001734916286278899,0.3162106629955525,0.13377023350000994,0.04479957422410801
25,11.084791308870626,11.334454509109017,10.962042429550229,0.08775653711659749,0.911211450761103,0.008788549238897048,0.5738475882791434,0.004229359100836342,0.3227558587846709,0.13452707741904008,0.04591940240217419
26,11.185502225611108,12.353379336851383,11.428284986970297,0.08052419675492212,0.9210882832816262,-0.0010882832816261345,1.364640751316152,0.00987683252052317,1.0925001194686914,0.17206704159189126,0.1904832634957655
27,11.249697420452895,10.700260120501817,11.106214728344971,0.1271620182437743,0.9153486893410364,0.0046513106589636255,-0.8261992789998356,-0.005739593940589707,0.8875526840442698,0.16703449385159147,0.15075191334595608
28,11.388145302590148,12.099070293261882,11.639274305589778,0.12679783785203583,0.9220152845379944,-0.0020152845379943773,0.9330111981311973,0.00666659519695795,0.879031289941241,0.16678568580508374,0.1491098365369773
29,11.5023783129249,11.920286985908737,11.827222600673116,0.12670205988366726,0.9233027565203248,-0.0033027565203247455,0.1886981752246104,0.0012874719823303524,0.4573191456371694,0.14698291396280652,0.06971810063673226
30,11.653505296763017,11.606491558754865,11.789793880907261,0.10387981258769327,0.9211964997110421,-0.001196499711042076,-0.31361567042610794,-0.0021062568092826625,0.2778369671869933,0.12895533596320638,0.03832855944659707
31,11.650076926365028,11.384038652205671,11.700573782659754,0.08398908932239946,0.9179850892644584,0.0020149107355416085,-0.4766782032007608,-0.003211410446583632,0.25252953829684954,0.12537752083769382,0.03416152744994646
32,11.765715560121656,11.043876357082512,11.534859460404995,0.07391333016706406,0.9132535531057171,0.0067464468942829425,-0.6970759112377838,-0.004731536158741361,0.3692221821624181,0.1394401539863377,0.05398439793589921
33,11.826134881351287,11.952753561022318,11.666602520486926,0.07906239312838416,0.9161344222449768,0.003865577755023275,0.418502174232362,0.002880869139259721,0.2721831259998162,0.1281861130073874,0.0373900969481164
34,11.8642644826025,12.22608047578655,11.84593322828931,0.07332022810283816,0.9197960273798151,0.00020397262018490014,0.5379043161184693,0.0036616051348383944,0.28076208964934724,0.12934687549976542,0.0388156990549281
35,11.94416231107063,13.104866569520995,12.243361251197921,0.0718593792669129,0.9279032443954611,-0.007903244395461084,1.2090242455339393,0.008107217015645945,0.8712508579691292,0.16655520953810282,0.14761136920930018
